subj,word,sex,language,rating
34,24,m,ger,-5
35,1,m,ger,-11
35,2,f,ger,7
35,3,f,ger,-11
35,4,f,ger,3
35,5,m,ger,0
35,6,f,ger,-1
35,7,m,ger,-1
35,8,m,ger,9
35,9,f,ger,7
35,10,m,ger,5
35,11,m,ger,-9
35,12,f,ger,7
35,13,f,ger,-3
35,14,m,ger,5
35,15,f,ger,8
35,16,m,ger,-5
35,17,m,ger,-13
35,18,m,ger,9
35,19,m,ger,-3
35,20,m,ger,-4
35,21,f,ger,-9
35,22,m,ger,1
35,23,f,ger,5
35,24,m,ger,-5
36,1,m,ger,3
36,2,f,ger,2
36,3,f,ger,-7
36,4,f,ger,3
36,5,m,ger,-6
36,6,f,ger,1
36,7,m,ger,-3
36,8,m,ger,-5
36,9,f,ger,1
36,10,m,ger,0
36,11,m,ger,-3
36,12,f,ger,-1
36,13,f,ger,-3
36,14,m,ger,-7
36,15,f,ger,-5
36,16,m,ger,-5
36,17,m,ger,-7
36,18,m,ger,11
36,19,m,ger,3
36,20,m,ger,-3
36,21,f,ger,-1
36,22,m,ger,-1
36,23,f,ger,3
36,24,m,ger,1
37,1,m,ger,-7
37,2,f,ger,9
37,3,f,ger,5
37,4,f,ger,-3
37,5,m,ger,-1
37,6,f,ger,-1
37,7,m,ger,1
37,8,m,ger,-7
37,9,f,ger,3
37,10,m,ger,9
37,11,m,ger,2
37,12,f,ger,3
37,13,f,ger,-3
37,14,m,ger,-1
37,15,f,ger,6
37,16,m,ger,2
37,17,m,ger,-7
37,18,m,ger,9
37,19,m,ger,-9
37,20,m,ger,-7
37,21,f,ger,3
37,22,m,ger,3
37,23,f,ger,7
37,24,m,ger,1
38,1,m,ger,-5
38,2,f,ger,3
38,3,f,ger,-5
38,4,f,ger,5
38,5,m,ger,-7
38,6,f,ger,-5
38,7,m,ger,-5
38,8,m,ger,-13
38,9,f,ger,-1
38,10,m,ger,5
38,11,m,ger,-4
38,12,f,ger,8
38,13,f,ger,-1
38,14,m,ger,-3
38,15,f,ger,1
38,16,m,ger,-11
38,17,m,ger,3
38,18,m,ger,5
38,19,m,ger,3
38,20,m,ger,-1
38,21,f,ger,-7
38,22,m,ger,-3
38,23,f,ger,7
38,24,m,ger,-5
39,1,m,ger,-9
39,2,f,ger,3
39,3,f,ger,-3
39,4,f,ger,5
39,5,m,ger,-1
39,6,f,ger,1
39,7,m,ger,1
39,8,m,ger,-5
39,9,f,ger,3
39,10,m,ger,1
39,11,m,ger,5
39,12,f,ger,5
39,13,f,ger,5
39,14,m,ger,-1
39,15,f,ger,1
39,16,m,ger,-3
39,17,m,ger,3
39,18,m,ger,9
39,19,m,ger,-2
39,20,m,ger,-3
39,21,f,ger,-9
39,22,m,ger,-5
39,23,f,ger,3
39,24,m,ger,-3
40,1,m,ger,-1
40,2,f,ger,1
40,3,f,ger,0
40,4,f,ger,-5
40,5,m,ger,2
40,6,f,ger,-5
40,7,m,ger,-1
40,8,m,ger,-7
40,9,f,ger,-5
40,10,m,ger,3
40,11,m,ger,-6
40,12,f,ger,0
40,13,f,ger,0
40,14,m,ger,-1
40,15,f,ger,5
40,16,m,ger,-11
40,17,m,ger,-7
40,18,m,ger,13
40,19,m,ger,-5
40,20,m,ger,-3
40,21,f,ger,-9
40,22,m,ger,-9
40,23,f,ger,7
40,24,m,ger,-3
41,1,m,ger,3
41,2,f,ger,3
41,3,f,ger,-9
41,4,f,ger,-7
41,5,m,ger,3
41,6,f,ger,-5
41,7,m,ger,1
41,8,m,ger,-7
41,9,f,ger,9
41,10,m,ger,8
41,11,m,ger,1
41,12,f,ger,5
41,13,f,ger,-7
41,14,m,ger,4
41,15,f,ger,4
41,16,m,ger,-2
41,17,m,ger,-9
41,18,m,ger,7
41,19,m,ger,1
41,20,m,ger,0
41,21,f,ger,-3
41,22,m,ger,7
41,23,f,ger,5
41,24,m,ger,1
42,1,m,ger,-3
42,2,f,ger,-9
42,3,f,ger,-1
42,4,f,ger,-1
42,5,m,ger,-3
42,6,f,ger,-3
42,7,m,ger,1
42,8,m,ger,-8
42,9,f,ger,5
42,10,m,ger,-2
42,11,m,ger,-1
42,12,f,ger,7
42,13,f,ger,-5
42,14,m,ger,-3
42,15,f,ger,5
42,16,m,ger,-9
42,17,m,ger,-3
42,18,m,ger,11
42,19,m,ger,-3
42,20,m,ger,-1
42,21,f,ger,-9
42,22,m,ger,-1
42,23,f,ger,6
42,24,m,ger,-1
43,1,m,ger,3
43,2,f,ger,7
43,3,f,ger,9
43,4,f,ger,-3
43,5,m,ger,3
43,6,f,ger,5
43,7,m,ger,6
43,8,m,ger,6
43,9,f,ger,1
43,10,m,ger,9
43,11,m,ger,-1
43,12,f,ger,3
43,13,f,ger,-1
43,14,m,ger,-3
43,15,f,ger,-1
43,16,m,ger,5
43,17,m,ger,1
43,18,m,ger,-7
43,19,m,ger,1
43,20,m,ger,11
43,21,f,ger,-3
43,22,m,ger,3
43,23,f,ger,1
43,24,m,ger,-1
44,1,m,ger,-1
44,2,f,ger,3
44,3,f,ger,-5
44,4,f,ger,-6
44,5,m,ger,2
44,6,f,ger,3
44,7,m,ger,-3
44,8,m,ger,-4
44,9,f,ger,7
44,10,m,ger,3
44,11,m,ger,-4
44,12,f,ger,2
44,13,f,ger,-5
44,14,m,ger,5
44,15,f,ger,-9
44,16,m,ger,0
44,17,m,ger,-9
44,18,m,ger,5
44,19,m,ger,-7
44,20,m,ger,-6
44,21,f,ger,-1
44,22,m,ger,1
44,23,f,ger,9
44,24,m,ger,-4
45,1,m,ger,5
45,2,f,ger,-1
45,3,f,ger,-3
45,4,f,ger,5
45,5,m,ger,4
45,6,f,ger,-1
45,7,m,ger,3
45,8,m,ger,7
45,9,f,ger,7
45,10,m,ger,7
45,11,m,ger,-4
45,12,f,ger,7
45,13,f,ger,3
45,14,m,ger,-1
45,15,f,ger,-1
45,16,m,ger,-13
45,17,m,ger,-3
45,18,m,ger,11
45,19,m,ger,-5
45,20,m,ger,-7
45,21,f,ger,-3
45,22,m,ger,-5
45,23,f,ger,7
45,24,m,ger,-5
46,1,m,ger,-5
46,2,f,ger,2
46,3,f,ger,-5
46,4,f,ger,1
46,5,m,ger,9
46,6,f,ger,-1
46,7,m,ger,6
46,8,m,ger,1
46,9,f,ger,-1
46,10,m,ger,0
46,11,m,ger,-4
46,12,f,ger,4
46,13,f,ger,-3
46,14,m,ger,4
46,15,f,ger,-1
46,16,m,ger,-3
46,17,m,ger,-9
46,18,m,ger,5
46,19,m,ger,-7
46,20,m,ger,5
46,21,f,ger,-1
46,22,m,ger,-3
46,23,f,ger,1
46,24,m,ger,5
47,1,m,ger,1
47,2,f,ger,5
47,3,f,ger,-3
47,4,f,ger,2
47,5,m,ger,-2
47,6,f,ger,-2
47,7,m,ger,5
47,8,m,ger,-11
47,9,f,ger,1
47,10,m,ger,11
47,11,m,ger,-9
47,12,f,ger,9
47,13,f,ger,-3
47,14,m,ger,5
47,15,f,ger,3
47,16,m,ger,-11
47,17,m,ger,-7
47,18,m,ger,6
47,19,m,ger,-7
47,20,m,ger,3
47,21,f,ger,-11
47,22,m,ger,1
47,23,f,ger,11
47,24,m,ger,-5
48,1,m,ger,-3
48,2,f,ger,-1
48,3,f,ger,-5
48,4,f,ger,-7
48,5,m,ger,2
48,6,f,ger,3
48,7,m,ger,-3
48,8,m,ger,3
48,9,f,ger,3
48,10,m,ger,-3
48,11,m,ger,1
48,12,f,ger,2
48,13,f,ger,3
48,14,m,ger,-1
48,15,f,ger,-5
48,16,m,ger,-3
48,17,m,ger,-9
48,18,m,ger,-1
48,19,m,ger,-5
48,20,m,ger,1
48,21,f,ger,-9
48,22,m,ger,-5
48,23,f,ger,11
48,24,m,ger,5
49,1,m,ger,-9
49,2,f,ger,-5
49,3,f,ger,-5
49,4,f,ger,-7
49,5,m,ger,1
49,6,f,ger,-5
49,7,m,ger,-3
49,8,m,ger,-1
49,9,f,ger,7
49,10,m,ger,-3
49,11,m,ger,-9
49,12,f,ger,1
49,13,f,ger,3
49,14,m,ger,-1
49,15,f,ger,4
49,16,m,ger,-3
49,17,m,ger,-3
49,18,m,ger,7
49,19,m,ger,-7
49,20,m,ger,5
49,21,f,ger,-13
49,22,m,ger,-3
49,23,f,ger,3
49,24,m,ger,-1
50,1,m,ger,1
50,2,f,ger,5
50,3,f,ger,0
50,4,f,ger,7
50,5,m,ger,3
50,6,f,ger,1
50,7,m,ger,3
50,8,m,ger,-5
50,9,f,ger,4
50,10,m,ger,3
50,11,m,ger,1
50,12,f,ger,3
50,13,f,ger,7
50,14,m,ger,3
50,15,f,ger,3
50,16,m,ger,-7
50,17,m,ger,-3
50,18,m,ger,4
50,19,m,ger,-3
50,20,m,ger,-1
50,21,f,ger,-5
50,22,m,ger,-9
50,23,f,ger,7
50,24,m,ger,1
51,1,m,por,2
51,2,f,por,-7
51,3,f,por,-7
51,4,f,por,7
51,5,m,por,15
51,6,f,por,-9
51,7,m,por,11
