subj,word,assoc_i,sex_port,sex_ger,sex,language,rating
7,3,3,m,f,m,por,-3
7,4,1,m,f,m,por,-5
7,4,2,m,f,m,por,5
7,4,3,m,f,m,por,5
7,5,1,f,m,f,por,5
7,5,2,f,m,f,por,1
7,5,3,f,m,f,por,3
7,6,1,m,f,m,por,1
7,6,2,m,f,m,por,-5
7,6,3,m,f,m,por,-5
7,7,1,f,m,f,por,-3
7,7,2,f,m,f,por,1
7,7,3,f,m,f,por,1
7,8,1,f,m,f,por,-3
7,8,2,f,m,f,por,-3
7,8,3,f,m,f,por,5
7,9,1,m,f,m,por,5
7,9,2,m,f,m,por,-1
7,9,3,m,f,m,por,-5
7,10,1,f,m,f,por,-1
7,10,2,f,m,f,por,3
7,10,3,f,m,f,por,-1
7,11,1,f,m,f,por,-5
7,11,2,f,m,f,por,-1
7,11,3,f,m,f,por,1
7,12,1,m,f,m,por,3
7,12,2,m,f,m,por,-3
7,12,3,m,f,m,por,-3
7,13,1,m,f,m,por,-1
7,13,2,m,f,m,por,5
7,13,3,m,f,m,por,-3
7,14,1,f,m,f,por,3
7,14,2,f,m,f,por,-5
7,14,3,f,m,f,por,-3
7,15,1,m,f,m,por,3
7,15,2,m,f,m,por,3
7,15,3,m,f,m,por,-3
7,16,1,f,m,f,por,3
7,16,2,f,m,f,por,3
7,16,3,f,m,f,por,-1
7,17,1,f,m,f,por,3
7,17,2,f,m,f,por,-5
7,17,3,f,m,f,por,-5
7,18,1,f,m,f,por,5
7,18,2,f,m,f,por,-5
7,18,3,f,m,f,por,1
7,19,1,f,m,f,por,1
7,19,2,f,m,f,por,-5
7,19,3,f,m,f,por,-1
7,20,1,f,m,f,por,1
7,20,2,f,m,f,por,5
7,20,3,f,m,f,por,1
7,21,1,m,f,m,por,-5
7,21,2,m,f,m,por,-3
7,21,3,m,f,m,por,-3
7,22,1,f,m,f,por,1
7,22,2,f,m,f,por,-5
7,22,3,f,m,f,por,-5
7,23,1,m,f,m,por,3
7,23,2,m,f,m,por,-3
7,23,3,m,f,m,por,-1
7,24,1,f,m,f,por,-5
7,24,2,f,m,f,por,3
7,24,3,f,m,f,por,1
8,1,1,f,m,f,por,0
8,1,2,f,m,f,por,-3
8,1,3,f,m,f,por,-3
8,2,1,m,f,m,por,-3
8,2,2,m,f,m,por,1
8,2,3,m,f,m,por,-1
8,3,1,m,f,m,por,1
8,3,2,m,f,m,por,-1
8,3,3,m,f,m,por,-5
8,4,1,m,f,m,por,3
8,4,2,m,f,m,por,5
8,4,3,m,f,m,por,5
8,5,1,f,m,f,por,3
8,5,2,f,m,f,por,5
8,5,3,f,m,f,por,5
8,6,1,m,f,m,por,-1
8,6,2,m,f,m,por,-5
8,6,3,m,f,m,por,-5
8,7,1,f,m,f,por,-3
8,7,2,f,m,f,por,1
8,7,3,f,m,f,por,-5
8,8,1,f,m,f,por,5
8,8,2,f,m,f,por,-3
8,8,3,f,m,f,por,3
8,9,1,m,f,m,por,-5
8,9,2,m,f,m,por,1
8,9,3,m,f,m,por,1
8,10,1,f,m,f,por,-1
8,10,2,f,m,f,por,3
8,10,3,f,m,f,por,-1
8,11,1,f,m,f,por,-5
8,11,2,f,m,f,por,-1
8,11,3,f,m,f,por,1
8,12,1,m,f,m,por,-3
8,12,2,m,f,m,por,1
8,12,3,m,f,m,por,-1
8,13,1,m,f,m,por,-1
8,13,2,m,f,m,por,-5
8,13,3,m,f,m,por,-1
8,14,1,f,m,f,por,5
8,14,2,f,m,f,por,-1
8,14,3,f,m,f,por,1
8,15,1,m,f,m,por,-3
8,15,2,m,f,m,por,-5
8,15,3,m,f,m,por,-3
8,16,1,f,m,f,por,-1
8,16,2,f,m,f,por,1
8,16,3,f,m,f,por,-1
8,17,1,f,m,f,por,-5
8,17,2,f,m,f,por,1
8,17,3,f,m,f,por,1
8,18,1,f,m,f,por,5
8,18,2,f,m,f,por,3
8,18,3,f,m,f,por,3
8,19,1,f,m,f,por,-5
8,19,2,f,m,f,por,-1
8,19,3,f,m,f,por,-1
8,20,1,f,m,f,por,-5
8,20,2,f,m,f,por,5
8,20,3,f,m,f,por,3
8,21,1,m,f,m,por,-5
8,21,2,m,f,m,por,-1
8,21,3,m,f,m,por,-5
8,22,1,f,m,f,por,1
8,22,2,f,m,f,por,-1
8,22,3,f,m,f,por,3
8,23,1,m,f,m,por,-1
8,23,2,m,f,m,por,5
8,23,3,m,f,m,por,3
8,24,1,f,m,f,por,-1
8,24,2,f,m,f,por,1
8,24,3,f,m,f,por,1
9,1,1,f,m,f,por,3
9,1,2,f,m,f,por,5
9,1,3,f,m,f,por,-3
9,2,1,m,f,m,por,-1
9,2,2,m,f,m,por,1
9,2,3,m,f,m,por,-1
9,3,1,m,f,m,por,-3
9,3,2,m,f,m,por,-5
9,3,3,m,f,m,por,-1
9,4,1,m,f,m,por,-5
9,4,2,m,f,m,por,1
9,4,3,m,f,m,por,5
9,5,1,f,m,f,por,1
9,5,2,f,m,f,por,1
9,5,3,f,m,f,por,1
9,6,1,m,f,m,por,1
9,6,2,m,f,m,por,1
9,6,3,m,f,m,por,-3
